1,Casual,1
2,Content,1
3,Gaming,1
4,Productivity,1
5,Exotic,2
6,Niche,2
7,Retro,2
8,Source,2
9,Anonymous,3
10,Crypto,3
11,Government,3
12,Industry,3
13,Access,4
14,Distribution,4
15,Install,4
16,Use,4
17,CompSci,5
18,Cybernetics,5
19,Engineering,5
20,Theoretical,5
21,Africa,6
22,Americas,6
23,Asia,6
24,EU,6
25,Consumer,7
26,Entertainment,7
27,Industrial,7
28,Military,7
29,Activist,8
30,Enthusiast,8
31,Freelance,8
32,OpenSource,8
33,Campus,9
34,Ephemeral,9
35,Satellite,9
36,Tower,9
37,Commercial,10
38,Education,10
39,Hospitality,10
40,Municipal,10
41,Apartment,11
42,Detached,11
43,Hotel,11
44,Shared,11
45,Infrastructure,12
46,Office,12
47,Public,12
48,Residential,12
49,Art,13
50,Production,13
51,Programming,13
52,QA,13
53,DevOps,14
54,Hardware,14
55,Security,14
56,Support,14
57,Accounting,15
58,Admin,15
59,HR,15
60,Marketing,15
61,Maintenance,16
62,Security,16
63,Supply,16
64,Trades,16
